Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, 3, 2700, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
59, 4, 3600, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, 7, 6300, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
57, 10, 9000, 0, 0, 3, 0, 0, 0, 0, 0, 1, 6, 0, 0
56, 5, 4500, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3
53, 1, 900, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
51, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 2, 1800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, 3, 2700, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, 4, 3600, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2
42, 2, 1800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
40, 1, 900, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
