Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
60, 8, 28800, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0
59, 2, 7200, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
58, 3, 10800, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2
57, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
56, 5, 18000, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0
54, 5, 18000, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1
53, 6, 21600, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2
52, 2, 7200, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
51, 3, 10800, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
49, 2, 7200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
48, 4, 14400, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
47, 2, 7200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
45, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
44, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
40, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0
39, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 2, 7200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
36, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
35, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
31, 4, 14400, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3
30, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 3, 10800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
26, 6, 21600, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1
25, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 9, 32400, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
19, 3, 10800, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
16, 5, 18000, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3
14, 3, 10800, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 2, 7200, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 3, 10800, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
