Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 32, 4640, 2, 2, 8, 2, 0, 0, 0, 0, 0, 0, 0, 18
60, 11, 4800, 0, 0, 10, 0, 0, 0, 0, 1, 0, 0, 0, 0
59, 32, 7700, 0, 3, 26, 0, 1, 0, 0, 0, 0, 0, 0, 2
58, 26, 3700, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 16
57, 9, 9990, 0, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 1
56, 12, 5910, 0, 0, 7, 2, 0, 0, 0, 1, 0, 0, 0, 2
55, 11, 8580, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0, 6
54, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, 4, 7480, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
52, 5, 7520, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, 8, 6350, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0
50, 4, 500, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1
49, 10, 5575, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1
48, 37, 4210, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 16
47, 4, 10950, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
46, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
45, 23, 3450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
44, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, 7, 3450, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5
42, 7, 11700, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1
41, 5, 7650, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0
40, 16, 4725, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 11
39, 11, 1650, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 15, 21105, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 9
37, 14, 14175, 2, 2, 3, 0, 6, 0, 0, 0, 0, 0, 0, 1
36, 14, 11245, 0, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 4
35, 4, 6055, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1
34, 3, 4200, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
33, 4, 7500, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
32, 2, 300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 16, 19950, 0, 10, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0
30, 19, 17040, 0, 5, 11, 2, 0, 0, 0, 0, 1, 0, 0, 0
29, 12, 15850, 5, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1
28, 4, 4125, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 7, 7325, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 1
26, 10, 15300, 0, 0, 5, 1, 2, 0, 0, 0, 0, 0, 0, 2
25, 21, 19890, 0, 0, 15, 2, 0, 0, 0, 0, 0, 0, 0, 4
20, 72, 21145, 0, 26, 39, 4, 0, 0, 0, 0, 0, 0, 0, 3
19, 17, 6000, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2
18, 7, 5100, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1
17, 10, 6400, 0, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 3
16, 19, 10050, 8, 1, 4, 0, 3, 0, 0, 0, 0, 0, 0, 3
15, 9, 6525, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
14, 16, 6050, 0, 1, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0
13, 26, 9775, 0, 1, 13, 1, 0, 0, 0, 0, 0, 0, 0, 11
12, 15, 8350, 0, 2, 7, 1, 0, 0, 0, 0, 0, 0, 0, 5
11, 41, 8425, 0, 0, 1, 31, 1, 0, 0, 0, 0, 0, 0, 8
10, 9, 8750, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2
9, 12, 2800, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5
8, 27, 10350, 0, 18, 3, 1, 0, 0, 0, 0, 0, 0, 0, 5
7, 12, 3720, 0, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1
6, 13, 7550, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 7
5, 22, 5080, 0, 2, 14, 1, 0, 0, 0, 0, 0, 0, 0, 5
4, 15, 3570, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2
3, 14, 2960, 0, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 26, 3900, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 14, 2360, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 9
