Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
60, 1, 450, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
49, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
48, 2, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
46, 1, 450, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
37, 3, 1350, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 2, 900, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
32, 2, 900, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
29, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
28, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
27, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 2, 900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
15, 1, 450, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 4, 1800, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
