Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
60, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, 2, 3900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 2, 3900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, 1, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
53, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, 2, 3750, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
44, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 2, 3750, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
40, 4, 7500, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0
