Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
62, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
61, 2, 7200, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
60, 8, 28800, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
58, 2, 7200, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 
57, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 3, 10800, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
54, 5, 18000, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
53, 2, 7200, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
52, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
51, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 2, 7200, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
46, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
42, 6, 21600, 1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 2, 7200, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 2, 7200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
