Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
60, 8, 28800, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0
59, 2, 7200, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
58, 3, 10800, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2
57, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
56, 5, 18000, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0
54, 5, 18000, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1
53, 6, 21600, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2
52, 2, 7200, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
51, 3, 10800, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
49, 2, 7200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
48, 4, 14400, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
47, 2, 7200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
45, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
44, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
40, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0
