Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
62, 2, 1400, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
59, 1, 700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
58, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
57, 2, 1400, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
55, 1, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
54, 2, 1400, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 
53, 10, 7000, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 
51, 2, 1400, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
50, 1, 750, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 1, 650, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
46, 4, 2600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
45, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
44, 1, 650, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
43, 1, 650, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
42, 3, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 
40, 2, 1300, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
39, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
38, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
