Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
60, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, 2, 3900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 2, 3900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, 1, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
53, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, 2, 3750, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
44, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 2, 3750, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
40, 4, 7500, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0
39, 2, 3750, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 3, 5625, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 4, 7500, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0
36, 2, 3750, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
35, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
30, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
27, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 3, 5625, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 2, 3750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
19, 3, 5625, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 3, 5625, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 3, 5625, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 2, 3750, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 2, 3750, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
12, 3, 5625, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 2, 3750, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
9, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
