Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 2, 1400, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
59, 1, 700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, 2, 1400, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
55, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
54, 2, 1400, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
53, 10, 7000, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2
51, 2, 1400, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
50, 1, 750, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 1, 650, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
46, 4, 2600, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2
45, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
44, 1, 650, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
43, 1, 650, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
42, 3, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
40, 2, 1300, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
39, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
38, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 4, 2600, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
36, 6, 3900, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1
35, 2, 1300, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
34, 2, 1300, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
32, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 6, 3900, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 5, 3250, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0
28, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 4, 2600, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
19, 3, 1950, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 4, 2600, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 2, 1300, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
10, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
