Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
61, 3, 1800, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
56, 11, 4950, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5
49, 1, 600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
48, 1, 450, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
40, 4, 2100, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 6, 3600, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 2, 1200, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 1, 600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 3, 1500, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 1, 600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 3, 1650, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
20, 9, 4800, 0, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0
19, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
13, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
12, 1, 450, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
