Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-09-12, 2, 2400, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-27, 2, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
2015-08-26, 7, 8400, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-08-22, 3, 3600, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
2015-08-19, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-14, 4, 4800, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-06, 3, 3600, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-08-03, 2, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-07-25, 3, 3600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-24, 2, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-07-08, 5, 6000, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-06, 4, 4800, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1
2015-07-01, 1, 1200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-29, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-24, 6, 7200, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-06-20, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-15, 1, 1200, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-08, 4, 4800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
2015-06-06, 4, 4800, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-03, 1, 1200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-02, 3, 3600, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-30, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-23, 6, 7200, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3
2015-05-19, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
2015-05-16, 3, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-05-07, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-05, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-27, 1, 1200, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-23, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-20, 3, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
2015-04-18, 2, 2400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-14, 4, 4800, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-04-12, 3, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-04-09, 3, 3600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-08, 5, 6000, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-04, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-31, 2, 2400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-27, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-25, 3, 3600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-24, 3, 3600, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-03-24, 3, 3600, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
2015-03-23, 2, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
2015-03-21, 1, 1200, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
2015-03-20, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-02-25, 2, 2400, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-02-10, 3, 3600, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-27, 1, 1200, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-13, 1, 1200, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-12, 1, 1200, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-05, 3, 3600, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-09, 3, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2014-12-08, 5, 6000, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3
2014-12-06, 1, 1200, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-03, 1, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2014-12-02, 2, 2400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-12-01, 3, 3600, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-11-24, 3, 3600, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
2014-11-11, 1, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0

