Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-09-08, 1, 450, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2015-06-26, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-20, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-19, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-04, 1, 450, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-04-01, 3, 1350, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-11, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-10, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-02-25, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-02-23, 1, 450, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-02-07, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-01-28, 1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-20, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-01-12, 2, 900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-11-27, 1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-11-17, 1, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2014-10-27, 1, 450, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
