Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-10-12, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-10-02, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-16, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-09-12, 4, 14400, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-10, 3, 10800, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-08, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-09-01, 2, 7200, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
2015-08-28, 2, 7200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-08-25, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-19, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-08-14, 2, 7200, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-12, 2, 7200, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0
2015-08-11, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-29, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-28, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-27, 2, 7200, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
2015-07-25, 2, 7200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-07-23, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
2015-07-22, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-14, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-13, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-07-11, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-08, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-22, 2, 7200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-06-17, 1, 3600, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-16, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-12, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-08, 1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-30, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-05-29, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-05-22, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-06, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-04, 2, 7200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-21, 3, 10800, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-04-14, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-07, 2, 7200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
