Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-09-21, 2, 1400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-07, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-03, 3, 2100, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-19, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-17, 1, 700, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-15, 2, 1400, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-08-13, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-04, 1, 700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-31, 1, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-07-14, 2, 1400, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-11, 2, 1400, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-07, 1, 700, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-06, 1, 700, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-01, 2, 1300, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-29, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-27, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-22, 2, 1300, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-17, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-13, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-12, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2015-06-06, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-02, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-27, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-22, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-19, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-16, 1, 650, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
2015-05-04, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-27, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-24, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-23, 2, 1300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-21, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-20, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-18, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-15, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-14, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-08, 2, 1300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-04-07, 2, 1300, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
2015-04-04, 1, 650, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-29, 1, 650, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-26, 1, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-03-25, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-24, 2, 1300, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
